FR:SIRENE;0002;FR
SE:ORGNR;0007;SE
FR:SIRET;0009;FR
FI:OVT;0037;FI
DUNS;0060;international
GLN;0088;international
DK:P;0096;DK
IT:FTI;0097;IT
NL:KVK;0106;NL
EU:NAL;0130;international
IT:SIA;0135;IT
IT:SECETI;0142;IT
AU:ABN;0151;AU
CH:UIDB;0183;CH
DK:DIGST;0184;DK
NL:OINO;0190;NL
EE:CC;0191;EE
NO:ORG;0192;NO
UBLBE;0193;BE
SG:UEN;0195;SG
IS:KTNR;0196;IS
DK:ERST;0198;DK
LEI;0199;international
LT:LEC;0200;LT
IT:CUUO;0201;IT
DE:LWID;0204;DE
BE:EN;0208;BE
GS1;0209;international
IT:CFI;0210;IT
IT:IVA;0211;IT
FI:ORG;0212;FI
FI:VAT;0213;FI
DK:CPR;9901;DK
DK:CVR;9902;DK
DK:SE;9904;DK
DK:VANS;9905;DK
IT:VAT;9906;IT
IT:CF;9907;IT
NO:ORGNR;9908;NO
NO:VAT;9909;NO
HU:VAT;9910;HU
EU:VAT;9912;international
EU:REID;9913;international
AT:VAT;9914;AT
AT:GOV;9915;AT
AT:CID;9916;AT
IS:KT;9917;IS
IBAN;9918;international
AT:KUR;9919;AT
ES:VAT;9920;ES
IT:IPA;9921;IT
AD:VAT;9922;AD
AL:VAT;9923;AL
BA:VAT;9924;BA
BE:VAT;9925;BE
BG:VAT;9926;BG
CH:VAT;9927;CH
CY:VAT;9928;CY
CZ:VAT;9929;CZ
DE:VAT;9930;DE
EE:VAT;9931;EE
GB:VAT;9932;GB
GR:VAT;9933;GR
HR:VAT;9934;HR
IE:VAT;9935;IE
LI:VAT;9936;LI
LT:VAT;9937;LT
LU:VAT;9938;LU
LV:VAT;9939;LV
MC:VAT;9940;MC
ME:VAT;9941;ME
MK:VAT;9942;MK
MT:VAT;9943;MT
NL:VAT;9944;NL
PL:VAT;9945;PL
PT:VAT;9946;PT
RO:VAT;9947;RO
RS:VAT;9948;RS
SI:VAT;9949;SI
SK:VAT;9950;SK
SM:VAT;9951;SM
TR:VAT;9952;TR
VA:VAT;9953;VA
NL:OIN;9954;NL
SE:VAT;9955;SE
BE:CBE;9956;BE
FR:VAT;9957;FR
DE:LID;9958;DE
